Monarch,Lineage,Weight,Longevity
296,14,0.7204,6
297,14,NA,NA
298,14,NA,NA
299,14,NA,NA
300,14,NA,NA
301,15,0.4873,7
302,15,0.645,6
303,15,NA,NA
304,15,0.6305,12
305,15,NA,NA
306,15,0.5873,10
307,15,0.6499,7
308,15,NA,NA
309,15,0.6163,8
310,15,0.5432,17
311,15,0.5397,6
312,15,0.5471,8
313,15,0.6718,6
314,15,0.8501,7
315,15,0.9703,7
316,15,0.7098,8
317,15,0.7015,8
318,15,0.5248,8
319,15,0.5644,10
320,15,0.7444,22
321,15,0.5812,7
322,15,NA,NA
323,15,0.7098,13
324,15,NA,NA
325,15,0.587,14
326,15,0.5933,7
327,15,0.625,8
328,15,0.5398,6
329,15,NA,NA
330,15,0.6135,18
331,15,NA,NA
332,15,0.6707,11
333,15,NA,NA
334,15,NA,NA
335,15,0.533,9
336,15,0.7893,13
337,15,NA,NA
338,15,0.5515,13
339,15,NA,NA
340,15,NA,NA
341,15,0.8114,9
342,15,0.62,7
343,15,0.637,9
344,15,0.512,11
345,15,0.8349,6
346,15,NA,NA
347,15,NA,NA
348,15,NA,NA
349,15,NA,NA
350,15,0.5826,21
351,15,NA,NA
352,15,0.5884,8
353,15,0.783,10
354,15,NA,NA
355,15,0.6991,9
356,15,NA,NA
357,15,0.439,7
358,15,NA,NA
359,15,NA,NA
360,15,0.7273,20
361,15,0.8569,9
362,15,NA,NA
363,15,0.6843,13
364,15,0.6373,7
365,15,0.5407,10
366,15,0.6684,6
367,15,NA,NA
368,15,0.6074,13
369,15,0.7275,10
370,15,0.6334,21
371,15,NA,NA
372,15,NA,NA
373,15,0.6125,8
374,15,0.6819,9
375,15,0.5804,8
376,15,0.5594,7
377,15,0.5953,6
378,15,0.6599,6
379,15,0.6821,16
380,15,0.614,17
381,15,0.6236,10
382,15,NA,NA
383,15,0.569,6
384,15,0.6956,23
385,15,0.4897,12
386,15,0.7057,8
387,15,0.6289,11
388,15,0.5121,8
389,15,0.6651,11
390,15,0.47719,16
391,15,0.5834,11
392,15,0.6387,16
393,15,0.6458,7
394,15,0.6289,6
395,15,0.6078,10
396,15,NA,4
397,15,NA,NA
398,15,0.5755,9
399,15,0.7044,9
400,15,0.651,23
401,16,0.652,9
402,16,0.7739,9
403,16,0.5232,6
404,16,0.3621,9
405,16,0.566,7
406,16,0.5631,11
407,16,0.4454,6
408,16,0.6699,13
409,16,0.6331,6
410,16,0.6139,21
411,16,NA,NA
412,16,0.5891,6
413,16,0.6385,13
414,16,0.6682,10
415,16,0.6826,8
416,16,0.6677,6
417,16,0.7375,6
418,16,NA,NA
419,16,NA,NA
420,16,NA,NA
421,16,NA,NA
422,16,NA,NA
423,16,NA,NA
424,16,0.6715,7
425,16,0.53,7
426,16,NA,NA
427,16,NA,NA
428,16,NA,NA
429,16,NA,NA
430,16,NA,NA
431,16,0.6094,4
432,16,NA,NA
433,16,NA,NA
434,16,NA,NA
435,16,NA,NA
436,16,0.6399,8
437,16,0.5386,8
438,16,NA,NA
439,16,0.4496,6
440,16,NA,NA
441,16,NA,NA
442,16,NA,NA
443,16,0.8843,10
444,16,NA,NA
445,16,0.5147,5
446,16,0.4629,5
447,16,0.6491,5
448,16,NA,NA
449,16,NA,NA
450,16,0.6275,18
451,16,0.6483,8
452,16,0.5348,9
453,16,0.6661,10
454,16,0.5838,4
455,16,NA,NA
456,16,0.4198,6
457,16,0.5824,5
458,16,NA,NA
459,16,NA,NA
460,16,NA,NA
461,16,0.6702,19
462,16,0.767,16
463,16,0.6343,11
464,16,0.6798,9
465,16,0.5585,7
466,16,NA,NA
467,16,NA,NA
468,16,NA,NA
469,16,NA,NA
470,16,NA,NA
471,16,NA,NA
472,16,NA,NA
473,16,NA,NA
474,16,NA,NA
475,16,NA,NA
476,16,NA,NA
477,16,NA,NA
478,16,NA,NA
479,16,NA,NA
480,16,0.6827,19
481,16,0.9746,9
482,16,NA,NA
483,16,NA,NA
484,16,NA,NA
485,16,NA,NA
486,16,NA,NA
487,16,NA,NA
488,16,NA,NA
489,16,NA,NA
490,16,NA,NA
491,16,NA,NA
492,16,NA,NA
493,16,NA,NA
494,16,0.8521,20
495,16,NA,NA
496,16,NA,NA
497,16,NA,NA
498,16,NA,NA
499,16,NA,NA
500,16,NA,NA
501,17,NA,NA
502,17,NA,NA
503,17,NA,NA
504,17,0,2
505,17,0.9484,10
506,17,NA,NA
507,17,0,5
508,17,0.662,8
509,17,NA,NA
510,17,NA,NA
511,17,0.8128,10
512,17,0.4307,3
513,17,NA,NA
514,17,NA,NA
515,17,0.6964,12
516,17,0.9585,11
517,17,NA,NA
518,17,0.586,6
519,17,0.5701,6
520,17,0.6911,12
521,17,0.561,7
522,17,0.7068,10
523,17,0.6707,8
524,17,NA,NA
525,17,0.6741,10
526,17,NA,NA
527,17,0.6444,10
528,17,NA,NA
529,17,0.6003,10
530,17,0.3662,9
531,17,NA,NA
532,17,0.5761,9
533,17,0.5989,10
534,17,NA,NA
535,17,0.5919,8
536,17,0.6709,8
537,17,NA,NA
538,17,0.5401,10
539,17,NA,NA
540,17,0.5316,12
541,17,0.5669,8
542,17,0.5256,7
543,17,0.7029,8
544,17,0,1
545,17,0.6543,11
546,17,0.6563,10
547,17,0.7943,9
548,17,0.6222,5
549,17,0.6075,9
550,17,0.5917,9
551,17,0.7921,9
552,17,NA,NA
553,17,0.6263,11
554,17,0.5212,8
555,17,NA,NA
556,17,0.7203,6
557,17,0.5446,10
558,17,0.4598,8
559,17,NA,NA
560,17,NA,NA
561,17,0.5373,8
562,17,0,1
563,17,NA,NA
564,17,0.5619,11
565,17,NA,NA
566,17,NA,NA
567,17,NA,NA
568,17,0,2
569,17,0.7973,7
570,17,NA,NA
571,17,NA,NA
572,17,0.633,10
573,17,NA,NA
574,17,NA,NA
575,17,NA,NA
576,17,NA,NA
577,17,NA,NA
578,17,NA,NA
579,17,0.5415,9
580,17,0.6661,13
581,17,NA,NA
582,17,NA,NA
583,17,0.6792,10
584,17,0.5599,6
585,17,NA,NA
586,17,NA,NA
587,17,NA,NA
588,17,NA,NA
589,17,NA,NA
590,17,NA,NA
591,17,0.7268,13
592,17,0.7645,11
593,17,0.5765,9
594,17,0.6076,9
595,17,NA,NA
596,17,1.0168,9
597,17,NA,NA
598,17,NA,NA
599,17,NA,NA
600,17,0.7919,10
601,18,0.8019,12
602,18,0.6975,10
603,18,0.6877,10
604,18,0.5638,9
605,18,0.6435,8
606,18,0.3974,5
607,18,0.8884,9
608,18,0.5326,8
609,18,0.7719,9
610,18,0.4872,8
611,18,0.7193,11
612,18,0.7122,10
613,18,0.6706,12
614,18,0.5981,10
615,18,0.5808,8
616,18,0.7464,8
617,18,0.9209,9
618,18,0.6725,10
619,18,0.8321,11
620,18,0.6354,15
621,18,0.7471,7
622,18,0.666,9
623,18,0.539,9
624,18,NA,NA
625,18,0.6992,9
626,18,0.556,10
627,18,0.5044,9
628,18,0.5405,12
629,18,0.453,8
630,18,NA,NA
631,18,NA,NA
632,18,NA,NA
633,18,NA,NA
634,18,0.6861,9
635,18,0.4983,10
636,18,0.473,8
637,18,NA,NA
638,18,0.4222,6
639,18,0.4919,10
640,18,0.6438,8
641,18,0.4824,9
642,18,0.4943,9
643,18,0.4363,8
644,18,0.4674,8
645,18,NA,NA
646,18,0.4627,11
647,18,0.5095,10
648,18,NA,NA
649,18,0.4742,10
650,18,0.4884,11
651,18,0.4912,9
652,18,0.5994,7
653,18,NA,NA
654,18,0.5839,10
655,18,0.6399,8
656,18,NA,NA
657,18,0.5799,9
658,18,0.4916,8
659,18,NA,NA
660,18,0.5878,12
661,18,0.5433,9
662,18,0.6456,13
663,18,0.5266,10
664,18,0.5146,9
665,18,0.5765,8
666,18,0.7956,5
667,18,NA,NA
668,18,NA,NA
669,18,0.7399,8
670,18,NA,NA
671,18,0.3914,6
672,18,NA,NA
673,18,0.3694,4
674,18,NA,NA
675,18,0.6708,6
676,18,NA,NA
677,18,NA,NA
678,18,0.3618,5
679,18,0.3951,9
680,18,0.584,13
681,18,NA,NA
682,18,0.4217,10
683,18,0.5345,10
684,18,NA,NA
685,18,0.3518,10
686,18,0.6006,9
687,18,NA,NA
688,18,0.5446,9
689,18,NA,NA
690,18,NA,NA
691,18,NA,NA
692,18,0.6457,9
693,18,0.7869,11
694,18,0.7238,15
695,18,NA,NA
696,18,0.4912,8
697,18,0.5833,9
698,18,NA,NA
699,18,0.5428,6
700,18,0.4441,12
701,19,0.6079,15
702,19,0.5304,12
703,19,0.4665,10
704,19,NA,NA
705,19,0.5078,11
706,19,3.7325,7
707,19,0.5972,6
708,19,0.465,12
709,19,0.5096,9
710,19,0.6188,21
711,19,0.4695,8
712,19,0.5489,12
713,19,0.5124,4
714,19,0.5704,8
715,19,0.4806,6
716,19,0.5735,9
